name,main_category,image,actual_price
"Tata Sampann Chaat Masala with Natural Oils, Crafted by Chef Sanjeev Kapoor, 100g",grocery & gourmet foods,https://m.media-amazon.com/images/I/619Dntj9dJL._AC_UL320_.jpg,80.0
"Brooke Bond, Red Label, 100g",grocery & gourmet foods,https://m.media-amazon.com/images/I/51+iVkS0ZVL._AC_UL320_.jpg,30.0
Goodricke Roasted Darjeeling Tea - 250 gm | Whole Leaf Tea | 100% Pure & Original Darjeeling Long Leaf Tea | Flavoury Gold...,grocery & gourmet foods,https://m.media-amazon.com/images/I/61jbZ93NhML._AC_UL320_.jpg,280.0
Glucon-D Instant Energy Health Drink Tangy Orange - 450Gm Refill,grocery & gourmet foods,https://m.media-amazon.com/images/I/71Qgc4wDwVL._AC_UL320_.jpg,173.0
"Sunfeast Dark Fantasy Bourbon Classic With Real Chocolate, 100g",grocery & gourmet foods,https://m.media-amazon.com/images/I/71lmk-WE2OL._AC_UL320_.jpg,40.0
"Amul Chocomini Chocolate, 250 g",grocery & gourmet foods,https://m.media-amazon.com/images/I/71KZQkANkFS._AC_UL320_.jpg,140.0
"Sunfeast Dark Fantasy Choco Nut Fills, 75g | Original Filled Cookies with Nuts",grocery & gourmet foods,https://m.media-amazon.com/images/I/71PFNfK7zhL._AC_UL320_.jpg,40.0
"UPF Healthy Brown Eggs, 6 Pieces| Veg Fed| Non-Fertile Eggs",grocery & gourmet foods,https://m.media-amazon.com/images/I/41dqMrWXmLL._AC_UL320_.jpg,89.0
"Cup Noodles Mazedaar Masala, 70g",grocery & gourmet foods,https://m.media-amazon.com/images/I/91aWJn2W5eL._AC_UL320_.jpg,50.0
"Aashirvaad Sugar Release Control Atta, 5kg Pack, Low GI Atta",grocery & gourmet foods,https://m.media-amazon.com/images/I/81kcZpNNKNS._AC_UL320_.jpg,395.0
"Urban Platter Pink Himalayan Rock Salt Powder Jar, 1.5kg ( Additive-Free, Gourmet Grade, Signature Quality)",grocery & gourmet foods,https://m.media-amazon.com/images/I/71SpDzVLJZL._AC_UL320_.jpg,400.0
"Aashirvaad Nature’s Superfoods Gluten Free Flour, 1kg Pack, Super Nutritious Flour",grocery & gourmet foods,https://m.media-amazon.com/images/I/819vYkT-VHL._AC_UL320_.jpg,210.0
veeba pasta pizza sauce 280g,grocery & gourmet foods,https://m.media-amazon.com/images/I/71eY2jA-pHL._AC_UL320_.jpg,89.0
"Himalayan Natives Unpolished Toor Dal/Arhar Dal/Tur Dal Unpolished 1 kg Pouch, 1000 GM",grocery & gourmet foods,https://m.media-amazon.com/images/I/618I4yT4eiL._AC_UL320_.jpg,219.0
24 Mantra Organic Bajra Flour/Pearl Millet Flour/Sajjalu - 500gms | Pack of 1 | Chemical Free & Pesticides Free | Naturall...,grocery & gourmet foods,https://m.media-amazon.com/images/I/71LtAovHIsL._AC_UL320_.jpg,55.0
Brij Gwala Desi Cow Ghee |Made Traditionally from Curd |Pure Cow Ghee for Better Digestion and Immunity | 1Ltr TetraPack,grocery & gourmet foods,https://m.media-amazon.com/images/I/61ctpFYqLTL._AC_UL320_.jpg,580.0
"Mangalam Camphor tab Pouch (500g Small Round, Pack of 1)",grocery & gourmet foods,https://m.media-amazon.com/images/I/713lj6wLuJL._AC_UL320_.jpg,750.0
"Cup Noodles Veggi Manchow, 70g",grocery & gourmet foods,https://m.media-amazon.com/images/I/91sFWJgCLDL._AC_UL320_.jpg,50.0
"Parle Krackjack, 400g",grocery & gourmet foods,https://m.media-amazon.com/images/I/81VK59CJUXL._AC_UL320_.jpg,75.0
"True Elements Nuts & Berries Muesli 1kg - With 14% Millets, Almonds & Cranberries | High in Fibre | 100% Wholegrain Breakf...",grocery & gourmet foods,https://m.media-amazon.com/images/I/51mow6vx+HL._AC_UL320_.jpg,595.0
"Cadbury Dairy Milk Bites Hazelnut, 40 g",grocery & gourmet foods,https://m.media-amazon.com/images/I/61xUrZc2XtL._AC_UL320_.jpg,75.0
"LG Asafoetida Powder, 100 g",grocery & gourmet foods,https://m.media-amazon.com/images/I/41BRTVTgr2L._AC_UL320_.jpg,165.0
"Sleepy Owl Premium Instant Coffee Sachets | 96 gm - Pack of 48 Assorted Coffee Powder Sachets | 2g Each - Original, French...",grocery & gourmet foods,https://m.media-amazon.com/images/I/61pt8-knI5L._AC_UL320_.jpg,500.0
"Cadbury Silk Valentines Potli Gift Pack, 343 g",grocery & gourmet foods,https://m.media-amazon.com/images/I/71R-oJjH5UL._AC_UL320_.jpg,650.0
"Nature Prime 100% Natural Premium Mix Dry Fruits and Nuts 1 Kg [Almonds, Cashew, Kishmish, Apricot, Black Raisins,kiwi] Dr...",grocery & gourmet foods,https://m.media-amazon.com/images/I/41fnPBnX5UL._AC_UL320_.jpg,1499.0
Tur Dal Loose Selecta 1kg,grocery & gourmet foods,https://m.media-amazon.com/images/I/81zDBFZ8OuL._AC_UL320_.jpg,199.0
"Mccain Veggie Burger, 360 g",grocery & gourmet foods,https://m.media-amazon.com/images/I/81q6FAqIfvL._AC_UL320_.jpg,135.0
Saffola Fittify Himalayan Apple Cider Vinegar with the Mother of Vinegar - 500 ml,grocery & gourmet foods,https://m.media-amazon.com/images/I/712M02gShZL._AC_UL320_.jpg,299.0
"Patanjali Saundarya Aloe Vera Gel, 150ml",grocery & gourmet foods,https://m.media-amazon.com/images/I/71tdCqV6q3L._AC_UL320_.jpg,100.0
"Brooke Bond Red Label Natural Care Tea, 250g Carton",grocery & gourmet foods,https://m.media-amazon.com/images/I/51hdl9zEmGL._AC_UL320_.jpg,130.0
"Organic India Tulsi Original Tea, 25 Infusion Tea Bags ( 1 Bag x 1.74g Each )",grocery & gourmet foods,https://m.media-amazon.com/images/I/51RqD74voHL._AC_UL320_.jpg,168.0
"Aashirvaad Sugar Release Control Atta, 1kg Pack, Low GI (Glycemic Index) Atta for Diabetics, A Blend of Whole Wheat, Pulse...",grocery & gourmet foods,https://m.media-amazon.com/images/I/81kcZpNNKNS._AC_UL320_.jpg,80.0
Himalaya Wellness Pure Herbs Shatavari Women's Wellness | Promotes lactation | - 60 Tablets,grocery & gourmet foods,https://m.media-amazon.com/images/I/61cF+L8aeEL._AC_UL320_.jpg,180.0
Saffola Tasty Refined Oil|Blend of Corn Oil & Rice Bran Oil|Cooking oil|Pro Fitness Conscious Edible Oil 1 Litre Pouch,grocery & gourmet foods,https://m.media-amazon.com/images/I/61URw94UvuL._AC_UL320_.jpg,190.0
"More Whole Masoor Malka - Red, 500g (Loose)",grocery & gourmet foods,https://m.media-amazon.com/images/I/716VAVQvxjL._AC_UL320_.jpg,199.0
"Urban Platter Baker's Active Dry Yeast, 100g",grocery & gourmet foods,https://m.media-amazon.com/images/I/71scYxnHEgL._AC_UL320_.jpg,250.0
"Lipton Honey Lemon Green Tea Bags, 25 Pieces",grocery & gourmet foods,https://m.media-amazon.com/images/I/614Vy2M-YUL._AC_UL320_.jpg,180.0
"Amazon Brand - Vedaka Poppy Seeds (Khus Khus), 200g",grocery & gourmet foods,https://m.media-amazon.com/images/I/91eXmQplbIL._AC_UL320_.jpg,600.0
"Manna Foxtail Millet Natural Grains, 1kg (500g x 2 Packs) - (Kaon/Kang/Kangni/Kakum/Navani/korralu/Korra/Thinai) | Native ...",grocery & gourmet foods,https://m.media-amazon.com/images/I/81+zN8b8ATL._AC_UL320_.jpg,198.0
"ORGANIC INDIA Cold Pressed Virgin Coconut Oil, 500ml (Pack of 1)",grocery & gourmet foods,https://m.media-amazon.com/images/I/71TAyjyYmyL._AC_UL320_.jpg,725.0
"Paper Boat Panipuri Pellets I Hygienic & Tasty I Ready to Fry I Golgappe, 400g",grocery & gourmet foods,https://m.media-amazon.com/images/I/61TWHgzjIDL._AC_UL320_.jpg,200.0
"Tata Sampann 6 Grain Khichdi Mix, Instant Ready to Cook Mix, 180g",grocery & gourmet foods,https://m.media-amazon.com/images/I/71rk3rEXO4S._AC_UL320_.jpg,70.0
"Sunfeast YiPPee! Pasta Treat | Cheesy and Soft Suji, Rawa Pasta | Tomato Cheese | 65g Pack",grocery & gourmet foods,https://m.media-amazon.com/images/I/8193nBUmmRL._AC_UL320_.jpg,28.0
"Lifelong LLM99 Foot, Calf and Leg Massager, (With Heat and Vibration), 80W, 4 Motors, Dark Brown",grocery & gourmet foods,https://m.media-amazon.com/images/I/61qRYAGbVJL._AC_UL320_.jpg,38000.0
Manna Kodo Millet | Kodri | Natural Grains 1kg (500g x 2 Packs) - (Kodra/Varagu/Arikelu/Hark/Varigu) | Native Low GI Mille...,grocery & gourmet foods,https://m.media-amazon.com/images/I/714qJ-AWaOL._AC_UL320_.jpg,260.0
Wheafree Gluten Free Multigrain Flour (5Kg) | Soya Free | Lactose Free | Easy to Digest | Suitable for Celiacs,grocery & gourmet foods,https://m.media-amazon.com/images/I/61BN+k+o9DL._AC_UL320_.jpg,700.0
"Sugar Free Gold Low Calorie Sweetener - Pack of 2 (100 Sachet x 2), Box",grocery & gourmet foods,https://m.media-amazon.com/images/I/71bOaEyVT4L._AC_UL320_.jpg,250.0
Pintola Organic Peanut Butter (Crunchy) (1kg),grocery & gourmet foods,https://m.media-amazon.com/images/I/71gQVK49PCL._AC_UL320_.jpg,525.0
"Fresh Groundnut, 500g",grocery & gourmet foods,https://m.media-amazon.com/images/I/511MZzma-+L._AC_UL320_.jpg,92.0
Himalaya Liv.52 DS Tablets 60,grocery & gourmet foods,https://m.media-amazon.com/images/I/71CBlFFaTgL._AC_UL320_.jpg,170.0
"Sunbean Beaten Caffe, Instant Coffee Paste 250g Jar | Rich, Creamy and Frothy Beaten Coffee | Make Hot Coffee, Cappuccino ...",grocery & gourmet foods,https://m.media-amazon.com/images/I/81-YOYAYEcL._AC_UL320_.jpg,295.0
Organic India - Jaggery Powder 500g (Pack of 2),grocery & gourmet foods,https://m.media-amazon.com/images/I/71+r+AxZwnL._AC_UL320_.jpg,184.0
"Krishna's Diabic Care Juice - 1000 ml | Blend of 11 herbs Methi, Amla, Karela, Jamun, Kutki, Guduchi & 5 other herbs to ma...",grocery & gourmet foods,https://m.media-amazon.com/images/I/81dJMIIXxiL._AC_UL320_.jpg,400.0
"Jaago CTC Leaf Tea, 1 Kg | tea 1kg | Chai Patti | Black CTC Tea | Loose Tea | Black Tea | Tea 1kg Pack",grocery & gourmet foods,https://m.media-amazon.com/images/I/81dCUBXmNaL._AC_UL320_.jpg,215.0
"Amazon Brand - Vedaka Premium Toor/Arhar Dal, 1 kg|Rich in Protein|No Cholesterol|No Additives",grocery & gourmet foods,https://m.media-amazon.com/images/I/71TIju5KrHL._AC_UL320_.jpg,299.0
Cavin's Vanilla Milkshake 200 ml,grocery & gourmet foods,https://m.media-amazon.com/images/I/51c2NwuOrRL._AC_UL320_.jpg,40.0
"Fresh Papaya Small, 1pc",grocery & gourmet foods,https://m.media-amazon.com/images/I/413EIL9mteL._AC_UL320_.jpg,78.0
R R AGRO FOODS Chia Seeds 1 KG - Premium Organic Chia Seed | Healthy Snacks | Chia Seeds for Weight Loss Pack of 1,grocery & gourmet foods,https://m.media-amazon.com/images/I/61a+Ae1u+XL._AC_UL320_.jpg,899.0
"Amazon Brand - Solimo CornFlakes, 1.2Kg",grocery & gourmet foods,https://m.media-amazon.com/images/I/71NiYlTTrRL._AC_UL320_.jpg,425.0
"JIWA healthy by nature Organic khapli wheat flour, 1Kg",grocery & gourmet foods,https://m.media-amazon.com/images/I/91uV9dtNipL._AC_UL320_.jpg,245.0
Yogabar Protein Bars Assorted Pack of 6 | 20g Protein Bar | Energy Bars | Added Probiotics & Whey | 20g Protein & 10g Fibr...,grocery & gourmet foods,https://m.media-amazon.com/images/I/713+Fk6Hy6L._AC_UL320_.jpg,749.0
"Amul Delicious, 500 g",grocery & gourmet foods,https://m.media-amazon.com/images/I/71KXKn2ngpL._AC_UL320_.jpg,106.0
"Del Monte Spaghetti Pasta (Imported), 500 grams, No Artificial Flavours",grocery & gourmet foods,https://m.media-amazon.com/images/I/51tr1+ASQfL._AC_UL320_.jpg,240.0
Kapiva Himalayan Apple Cider Vinegar with Mother Vinegar 500ml,grocery & gourmet foods,https://m.media-amazon.com/images/I/71yQr4esFvL._AC_UL320_.jpg,299.0
Nutrilin Jumbo Handpicked Lotus Seeds / Fox Nuts Big Size Phool Makhana (Pop / Gorgon Nut Puffed Kernels ) (1kg),grocery & gourmet foods,https://m.media-amazon.com/images/I/71FDuM5fzML._AC_UL320_.jpg,999.0
"Manna Millets - Natural Grains Combo Pack of 3 | Foxtail 500g, Kodo 500g, Little 500g | Native Low GI Millet Rice | Nutrie...",grocery & gourmet foods,https://m.media-amazon.com/images/I/81-5WlO6P3L._AC_UL320_.jpg,390.0
Finish Dishwasher Powerball Classic - 110 Tablets,grocery & gourmet foods,https://m.media-amazon.com/images/I/71aw0fRofLL._AC_UL320_.jpg,3999.0
"Slurrp Farm Healthy Pancake Lovers Combo | Blueberry, Classic, Chocolate & Banana | No Maida, Wheat & Preservative | Made ...",grocery & gourmet foods,https://m.media-amazon.com/images/I/71gc8lIXYKL._AC_UL320_.jpg,646.0
Lotus Biscoff Cookies - Caramelized Biscuit Cookie - 250 Gram - Non-GMO Project Verified and Vegan,grocery & gourmet foods,https://m.media-amazon.com/images/I/51V9nnTD2OL._AC_UL320_.jpg,299.0
